frame,x,y
0,1077.0,502.75
1,1076.0,499.0
2,1076.0,498.5
3,1076.0,498.5
4,1076.0,498.25
5,1075.0,501.0
6,1074.0,502.5
7,1075.0,502.75
8,1074.0,503.0
9,1074.0,504.25
10,1072.0,505.5
11,1072.0,507.5
12,1075.0,506.75
13,1075.5,507.75
14,1076.0,508.75
15,1076.0,508.5
16,1075.0,508.75
17,1075.0,509.75
18,1073.0,512.5
19,1071.0,517.25
20,1069.0,523.5
21,1068.0,525.0
22,1065.0,526.25
23,1059.0,526.75
24,1051.0,530.5
25,1043.0,532.25
26,1032.0,527.25
27,1028.0,525.25
28,1022.0,530.25
29,1027.0,531.75
30,1026.0,539.75
31,1022.0,543.25
32,1009.0,542.75
33,1003.0,543.5
34,999.0,541.25
35,996.0,535.0
36,1009.0,538.5
37,1010.0,541.75
38,997.0,525.5
39,991.0,518.5
40,995.0,516.0
41,999.0,513.5
42,996.0,515.25
43,995.0,514.5
44,993.0,515.25
45,992.0,514.25
46,991.0,524.25
47,992.0,522.25
48,995.0,524.0
49,990.0,524.25
50,989.6666666666666,524.3333333333334
51,989.3333333333334,524.4166666666666
52,989.0,524.5
53,997.0,530.75
54,996.0,516.25
55,996.25,515.0625
56,996.5,513.875
57,996.75,512.6875
58,997.0,511.5
59,1002.0,503.5
60,1002.0,501.75
61,1004.25,500.1875
62,1006.5,498.625
63,1008.75,497.0625
64,1011.0,495.5
65,1015.0,491.0
66,1020.0,491.125
67,1025.0,491.25
68,1034.0,480.5
69,1037.0,476.5
70,1039.0,485.5
71,1043.0,486.0
72,1051.0,482.5
73,1053.0,476.5
74,1063.0,466.25
75,1067.0,463.5
76,1072.0,461.0
77,1076.0,460.0
78,1075.0,456.75
79,1082.0,454.25
80,1081.0,452.75
81,1081.0,452.75
82,1084.0,441.25
83,1088.0,437.0
84,1091.0,439.0
85,1091.0,450.5
86,1094.0,450.5
87,1094.0,451.25
88,1097.0,451.0
89,1097.0,450.0
90,1098.0,450.75
91,1098.0,451.5
92,1100.0,448.75
93,1101.0,447.75
94,1102.0,452.0
95,1102.0,453.25
96,1101.0,454.0
97,1094.0,454.0
98,1085.0,453.25
99,1081.0,452.5
100,1071.0,452.25
101,1059.0,451.75
102,1051.0,451.75
103,1043.0,453.25
104,1038.0,457.25
105,1036.0,458.5
106,1034.0,461.0
107,1029.0,466.75
108,1026.0,471.0
109,1021.0,472.75
110,1012.0,474.75
111,1009.0,475.0
112,993.0,480.75
113,986.0,484.75
114,976.0,487.25
115,969.0,482.5
116,962.0,488.0
117,960.0,490.5
118,956.0,493.25
119,949.0,498.25
120,942.0,507.5
121,939.0,516.0
122,936.0,522.0
123,935.0,524.0
124,935.0,514.75
125,931.0,523.0
126,929.0,535.75
127,925.0,550.75
