frame,speed_mps,dist_m
1,0.7883369962944543,0.02627789987648181
2,0.1015625,0.0033854166666666668
3,0.0,0.0
4,0.05078125,0.0016927083333333334
5,0.594379292341231,0.019812643078041033
6,0.3661888014143114,0.012206293380477047
7,0.20937645755089682,0.006979215251696561
8,0.20937645755089682,0.006979215251696561
9,0.25390625000000006,0.008463541666666668
10,0.47906935436224934,0.015968978478741645
11,0.40625,0.013541666666666667
12,0.6281293726526905,0.020937645755089683
13,0.2271006539648224,0.007570021798827414
14,0.2271006539648224,0.007570021798827414
15,0.05078125,0.0016927083333333334
16,0.20937645755089682,0.006979215251696561
17,0.203125,0.0067708333333333336
18,0.6906996742717217,0.02302332247572406
19,1.0468822877544843,0.03489607625848281
20,1.3329473572600543,0.04443157857533514
21,0.3661888014143114,0.012206293380477047
22,0.66015625,0.022005208333333335
23,1.2229744494085926,0.04076581498028642
24,1.7946700125932797,0.05982233375310932
25,1.6634250906567936,0.05544750302189312
26,2.4543687133863976,0.08181229044621326
27,0.9084026158592896,0.030280087195309655
28,1.586456965418539,0.052881898847284635
29,1.0603436298112279,0.035344787660374265
30,1.6376461051231428,0.05458820350410476
31,1.079624184105863,0.035987472803528764
32,2.642577403224218,0.08808591344080727
33,1.2282345788423572,0.04094115262807857
34,0.9322198310895143,0.031073994369650478
35,1.4082071883609892,0.046940239612032975
36,2.7346540036229903,0.09115513345409967
37,0.6906996742717217,0.02302332247572406
38,4.227062484867779,0.14090208282892597
39,1.8727199678876176,0.062423998929587256
40,0.9581387087244987,0.03193795695748329
41,0.9581387087244987,0.03193795695748329
42,0.7054756713392478,0.02351585571130826
43,0.25390625000000006,0.008463541666666668
44,0.43387519019190585,0.014462506339730195
45,0.287262129857035,0.009575404328567832
46,2.041380985540181,0.06804603285133937
47,0.4542013079296448,0.015140043597654827
48,0.7054756713392478,0.02351585571130826
49,1.0168937387832433,0.03389645795944144
50,0.06979215251697496,0.002326405083899165
51,0.06979215251694695,0.002326405083898232
52,0.06979215251697496,0.002326405083899165
53,2.062118957462581,0.06873729858208603
54,2.9523085015426913,0.09841028338475638
55,0.24649838076788944,0.008216612692262981
56,0.24649838076788944,0.008216612692262981
57,0.24649838076788944,0.008216612692262981
58,0.24649838076788944,0.008216612692262981
59,1.9162774174489974,0.06387591391496658
60,0.35546875,0.011848958333333333
61,0.55642556837997,0.018547518945999
62,0.55642556837997,0.018547518945999
63,0.55642556837997,0.018547518945999
64,0.55642556837997,0.018547518945999
65,1.2229744494085926,0.04076581498028642
66,1.0159423332369266,0.03386474444123089
67,1.0159423332369266,0.03386474444123089
68,2.8478277126020215,0.09492759042006739
69,1.0156250000000002,0.03385416666666667
70,1.8727199678876176,0.062423998929587256
71,0.8188230525615714,0.02729410175205238
72,1.7737128090269434,0.05912376030089811
73,1.2846752994434043,0.04282250998144681
74,2.9087507092352487,0.09695835697450829
75,0.9859935230715577,0.032866450769051925
76,1.135503269824112,0.03785010899413707
77,0.8375058302035873,0.027916861006786243
78,0.6906996742717217,0.02302332247572406
79,1.5098351071495357,0.050327836904984526
80,0.3661888014143114,0.012206293380477047
81,0.0,0.0
82,2.4141130658134573,0.08047043552711525
83,1.1855002178833889,0.0395166739294463
84,0.7323776028286229,0.024412586760954095
85,2.3359375,0.07786458333333333
86,0.609375,0.0203125
87,0.15234375,0.005078125
88,0.6114872247042963,0.02038290749014321
89,0.203125,0.0067708333333333336
90,0.25390625000000006,0.008463541666666668
91,0.15234375,0.005078125
92,0.6906996742717217,0.02302332247572406
93,0.287262129857035,0.009575404328567832
94,0.8868564045134717,0.029561880150449055
