frame,x,y
0,1077,502.75
1,1076,499.0
2,1076,498.5
3,1076,498.5
4,1076,498.25
5,1075,501.0
6,1074,502.5
7,1075,502.75
8,1074,503.0
9,1074,504.25
10,1072,505.5
11,1072,507.5
12,1075,506.75
14,1076,508.75
15,1076,508.5
16,1075,508.75
17,1075,509.75
18,1073,512.5
19,1071,517.25
20,1069,523.5
21,1068,525.0
22,1065,526.25
23,1059,526.75
24,1051,530.5
25,1043,532.25
26,1032,527.25
27,1028,525.25
28,1022,530.25
29,1027,531.75
30,1026,539.75
31,1022,543.25
32,1009,542.75
33,1003,543.5
34,999,541.25
35,996,535.0
36,1009,538.5
37,1010,541.75
38,997,525.5
39,991,518.5
41,999,513.5
42,996,515.25
43,995,514.5
44,993,515.25
45,992,514.25
46,991,524.25
47,992,522.25
48,995,524.0
49,990,524.25
52,989,524.5
53,997,530.75
54,996,516.25
58,997,511.5
59,1002,503.5
60,1002,501.75
64,1011,495.5
65,1015,491.0
67,1025,491.25
68,1034,480.5
69,1037,476.5
70,1039,485.5
71,1043,486.0
72,1051,482.5
73,1053,476.5
74,1063,466.25
75,1067,463.5
76,1072,461.0
77,1076,460.0
78,1075,456.75
79,1082,454.25
80,1081,452.75
81,1081,452.75
82,1084,441.25
83,1088,437.0
84,1091,439.0
85,1091,450.5
86,1094,450.5
87,1094,451.25
88,1097,451.0
89,1097,450.0
90,1098,450.75
91,1098,451.5
92,1100,448.75
93,1101,447.75
94,1102,452.0
95,1102,453.25
96,1101,454.0
97,1094,454.0
98,1085,453.25
99,1081,452.5
100,1071,452.25
101,1059,451.75
102,1051,451.75
103,1043,453.25
104,1038,457.25
105,1036,458.5
106,1034,461.0
107,1029,466.75
108,1026,471.0
109,1021,472.75
110,1012,474.75
111,1009,475.0
112,993,480.75
113,986,484.75
114,976,487.25
115,969,482.5
116,962,488.0
117,960,490.5
118,956,493.25
119,949,498.25
120,942,507.5
121,939,516.0
122,936,522.0
123,935,524.0
124,935,514.75
125,931,523.0
126,929,535.75
127,925,550.75
128,918,559.25
129,916,562.0
130,915,564.75
131,911,564.25
132,905,565.25
133,902,565.5
134,898,551.5
135,897,545.25
136,895,547.75
137,895,537.75
138,894,532.5
139,896,536.75
140,895,534.5
141,895,534.25
142,898,533.0
143,899,530.25
144,902,530.0
145,905,528.25
146,907,527.25
147,908,527.75
148,907,537.0
149,908,541.25
150,909,540.5
151,912,537.75
152,912,536.75
153,912,536.5
154,914,537.5
155,915,537.75
156,914,539.75
157,898,540.5
158,897,540.75
159,897,540.5
160,896,541.0
161,895,538.0
162,888,536.5
163,879,534.75
164,871,533.25
165,868,532.0
166,863,536.25
167,854,528.5
168,842,528.25
169,830,526.5
170,821,529.0
171,819,529.75
172,813,527.0
174,788,570.5
175,784,581.0
176,784,587.75
177,785,589.75
178,786,590.75
179,790,590.0
180,792,587.25
181,795,587.25
182,800,581.75
183,802,578.75
184,806,574.0
185,813,572.25
186,822,568.5
187,827,567.75
188,831,561.0
189,832,558.25
190,833,556.5
191,834,560.0
192,836,561.5
193,841,556.5
194,848,553.25
195,850,551.75
196,858,548.5
197,869,543.5
198,878,537.5
199,897,533.75
200,907,523.75
201,911,520.75
202,915,521.75
203,919,524.0
204,926,524.5
205,937,523.75
206,942,523.0
207,943,523.5
208,946,522.25
209,951,519.75
210,966,514.75
211,966,511.0
212,965,506.75
213,962,507.0
214,968,505.0
215,978,500.75
216,986,499.75
217,991,500.5
218,992,499.5
219,992,499.5
220,992,499.75
221,995,499.5
222,998,497.75
223,1001,495.5
224,1006,494.5
225,1008,494.0
226,1025,492.5
227,1029,491.5
228,1029,490.75
229,1033,489.0
230,1039,491.0
231,1041,492.75
232,1044,493.0
233,1047,494.25
234,1051,494.5
235,1053,494.0
236,1053,493.5
237,1053,493.0
238,1053,491.25
239,1055,490.0
240,1060,490.75
241,1061,492.75
242,1063,494.5
243,1064,496.0
244,1066,497.25
245,1064,493.75
246,1064,489.5
247,1064,487.5
248,1063,488.75
249,1062,489.75
250,1061,490.5
251,1059,490.0
252,1055,490.75
253,1050,498.0
254,1044,499.5
255,1042,499.75
256,1039,501.75
257,1035,505.0
258,1036,506.25
259,1040,512.0
260,1043,515.25
261,1044,516.0
262,1029,501.5
263,1021,512.5
264,1018,505.25
265,1014,513.25
266,1014,517.75
267,1014,519.25
268,1015,519.0
269,1015,511.0
270,1014,505.25
271,1013,507.25
272,1011,527.75
273,1010,535.0
274,1010,535.5
275,1012,539.75
276,1025,548.5
277,1030,549.0
278,1032,552.75
279,1033,554.25
280,1030,565.0
281,1026,567.25
282,1024,574.0
283,1024,578.75
284,1023,575.75
285,1023,574.75
286,1022,574.0
287,1020,564.75
288,1019,561.0
289,1019,556.75
290,1018,554.5
291,1018,553.0
292,1019,551.75
293,1013,549.0
294,1019,545.25
295,1019,532.25
296,1021,538.25
297,1022,540.75
298,1021,525.5
299,1018,517.75
300,1014,517.25
301,1009,519.75
302,1008,535.0
303,1007,541.0
304,1003,544.0
305,1002,544.25
319,1027,496.0
320,1039,499.5
321,1043,501.25
322,1044,494.25
323,1045,489.5
324,1049,487.25
325,1051,483.0
326,1051,479.75
327,1051,478.5
328,1052,474.0
329,1051,469.25
330,1054,466.75
331,1055,467.5
332,1059,468.5
333,1060,468.5
334,1062,469.25
335,1063,470.5
336,1064,470.75
337,1064,466.5
338,1065,459.75
339,1065,458.25
340,1068,445.0
341,1072,433.25
358,1071,409.25
359,1071,414.25
360,1069,424.25
361,1068,433.5
362,1069,435.0
363,1069,435.5
364,1068,434.25
365,1068,436.25
366,1070,435.25
367,1068,439.75
368,1068,441.75
369,1068,441.75
370,1070,443.0
371,1077,444.0
372,1073,447.0
373,1069,448.5
374,1068,451.5
375,1068,452.75
376,1072,458.75
377,1088,468.0
378,1091,473.0
379,1094,475.5
380,1095,476.75
381,1095,478.0
382,1097,476.75
383,1096,480.25
384,1104,488.75
385,1108,496.25
386,1113,505.75
387,1115,508.25
388,1117,513.25
389,1121,521.25
390,1127,528.0
392,1137,537.5
393,1138,539.25
394,1140,538.25
395,1141,539.0
396,1141,537.75
397,1139,538.0
398,1136,535.75
399,1134,534.25
400,1129,529.75
401,1121,524.75
402,1115,522.0
403,1110,519.0
404,1101,517.75
405,1097,517.0
406,1095,517.5
407,1084,515.25
408,1069,514.5
409,1058,512.75
410,1051,511.5
411,1048,511.5
412,1040,511.5
413,1039,511.0
414,1023,509.75
415,1016,511.0
416,1007,512.5
417,1004,513.0
418,999,513.25
419,994,511.5
420,992,509.25
421,990,507.5
422,986,506.75
423,985,506.5
424,979,506.5
425,973,505.0
426,966,503.75
427,955,499.5
428,948,498.5
429,946,498.25
430,942,499.0
431,931,502.5
432,921,506.5
433,913,508.25
434,909,509.75
435,907,510.25
436,903,513.25
437,896,514.75
438,893,515.0
439,888,515.25
440,880,515.25
441,877,514.75
442,869,515.75
443,864,514.0
444,856,515.0
445,850,519.25
446,848,525.0
447,848,526.75
448,843,533.0
449,842,535.25
450,840,536.0
451,839,537.25
452,838,538.0
453,838,539.0
454,838,538.5
455,840,537.75
456,841,536.25
457,845,534.0
458,855,530.5
459,859,529.25
460,869,529.25
461,877,529.5
462,881,529.0
463,882,530.0
464,882,531.0
465,881,531.0
466,880,530.5
467,881,530.25
468,883,527.25
469,888,526.25
470,894,524.0
471,896,522.25
472,902,520.5
473,910,516.0
474,919,513.0
475,927,514.25
476,935,514.75
477,938,515.5
478,942,517.25
479,944,518.75
480,950,519.75
481,958,520.0
482,969,522.0
483,972,522.75
484,979,520.5
485,984,520.0
486,967,522.75
487,958,521.5
488,956,521.75
489,955,522.75
490,955,522.0
491,957,520.75
492,961,520.5
493,966,520.5
494,967,525.0
495,967,526.75
496,985,515.75
497,996,511.5
498,1006,507.25
499,1014,526.75
502,1031,545.75
503,1038,557.0
504,1046,566.0
505,1064,574.75
506,1077,586.75
507,1081,591.25
508,1084,594.0
509,1086,594.0
510,1087,592.5
511,1088,592.5
512,1090,594.0
513,1091,594.25
514,1086,590.5
515,1083,585.25
516,1084,580.75
517,1090,575.0
518,1100,573.0
519,1103,572.0
520,1101,571.5
521,1088,570.75
522,1082,569.5
523,1091,565.5
524,1079,557.0
525,1074,553.5
526,1070,546.5
528,1069,529.75
529,1068,521.25
530,1064,522.0
531,1063,522.25
532,1059,528.5
533,1056,528.0
534,1054,523.5
535,1050,521.75
536,1044,517.5
537,1042,515.5
539,1033,511.0
540,1031,510.75
541,1029,509.25
542,1027,505.0
543,1026,503.75
544,1020,500.5
545,1010,501.5
546,998,497.75
547,985,497.0
548,977,495.25
549,974,495.0
550,970,493.75
551,963,492.0
552,962,490.25
553,960,490.25
554,958,491.25
555,957,492.25
556,956,490.25
557,954,488.75
558,950,489.5
559,947,488.0
560,943,486.5
561,942,485.75
562,939,487.5
563,937,483.5
564,936,481.0
565,935,479.5
566,935,479.75
567,936,479.75
568,937,478.75
569,939,481.0
570,945,481.25
571,950,483.25
572,951,484.25
573,951,484.25
574,966,486.25
576,968,496.25
577,964,492.25
578,970,506.5
579,971,511.5
580,975,516.0
581,969,516.75
582,967,516.5
583,972,518.25
584,976,518.25
585,978,517.75
586,982,520.75
587,988,520.75
588,989,520.5
589,991,519.25
590,991,519.5
591,991,520.0
592,990,524.75
593,990,528.75
594,988,524.75
595,989,536.0
596,984,546.25
597,982,550.5
598,980,552.75
599,976,552.0
600,975,542.75
601,975,545.25
602,976,540.25
603,976,538.25
604,980,532.5
605,981,535.75
606,992,535.0
607,991,531.75
608,996,528.75
609,998,526.75
610,986,524.5
611,976,522.5
612,972,523.0
613,969,522.75
614,966,522.0
615,964,521.5
616,964,522.5
617,963,518.5
618,962,511.25
619,962,504.75
620,961,498.75
621,961,496.75
622,960,494.75
623,959,493.0
624,957,489.75
625,951,487.75
626,946,489.0
627,944,490.0
628,941,491.0
629,936,492.25
630,933,493.75
631,934,492.75
632,933,494.5
633,933,495.0
634,934,495.25
635,927,495.5
636,912,493.75
637,886,491.5
638,884,489.0
639,883,487.75
640,874,486.75
641,865,484.0
642,854,478.75
643,846,474.5
644,838,470.75
645,835,468.5
646,828,467.0
647,819,464.0
648,809,462.5
649,803,461.0
650,790,464.25
651,785,466.25
652,780,467.25
653,772,469.5
654,764,472.75
655,758,474.75
656,754,477.0
657,753,478.5
658,753,478.5
659,756,477.5
660,757,477.0
661,764,474.5
662,767,474.25
663,769,473.5
664,779,475.0
665,790,475.0
666,805,474.75
667,815,477.0
668,825,479.75
669,828,480.75
670,836,487.75
671,843,490.5
672,852,493.25
673,865,492.0
674,875,492.75
675,879,493.25
676,890,493.0
677,899,490.75
678,910,486.0
679,921,482.0
680,936,479.25
681,941,477.5
682,948,478.5
683,962,478.5
684,975,478.5
685,995,478.75
686,1006,480.5
687,1010,481.75
688,1020,485.0
689,1033,485.0
690,1042,487.0
691,1046,488.0
692,1051,489.75
693,1052,490.25
694,1056,490.25
695,1061,489.5
696,1066,488.75
697,1068,486.75
698,1063,484.0
699,1060,483.0
700,1058,484.25
701,1053,485.25
702,1047,488.5
703,1041,489.0
704,1038,486.25
705,1037,486.0
706,1035,488.25
707,1032,487.25
708,1029,486.75
709,1026,488.25
710,1024,488.25
711,1023,489.25
712,1022,489.0
713,1022,489.0
714,1018,487.0
715,1015,485.25
716,1013,482.75
717,1012,482.25
718,1012,479.75
719,1010,478.75
720,1005,479.5
721,1002,479.0
722,1000,482.0
723,999,483.75
724,999,485.5
725,1000,488.5
726,1000,488.25
727,1000,487.5
728,998,488.25
729,997,489.25
730,995,489.0
733,971,488.0
734,962,487.25
735,959,487.75
736,953,486.5
737,946,485.75
738,939,483.25
739,933,479.5
740,928,478.0
741,930,478.25
742,931,478.25
743,926,476.5
744,932,477.0
745,934,477.25
746,942,476.25
747,945,476.25
748,944,476.75
749,944,476.25
750,944,478.75
751,942,481.0
752,938,485.0
753,937,486.25
754,936,488.75
755,936,488.5
756,934,488.25
757,933,489.25
758,933,490.25
759,933,490.25
760,934,489.75
761,934,484.25
762,935,479.75
763,936,483.25
764,937,484.25
765,938,485.25
766,938,485.5
767,940,489.25
768,942,493.5
769,941,498.0
770,941,499.5
771,941,499.75
772,946,498.0
773,948,496.75
774,946,494.75
775,944,492.5
776,941,490.0
777,940,489.0
778,941,484.0
779,940,479.75
780,940,476.75
781,933,472.5
782,928,467.5
783,925,466.25
784,924,463.75
785,925,464.0
786,922,462.5
787,920,460.75
788,921,460.5
789,922,461.25
790,921,459.75
791,915,453.25
792,908,445.75
798,852,411.25
799,845,413.25
800,840,415.0
801,838,415.5
802,836,418.5
803,831,424.0
804,815,425.0
805,807,429.25
806,792,438.5
807,787,441.5
808,779,446.75
809,777,451.0
810,773,451.5
811,772,452.5
